"","journ","n","main_n","master_n","makefile_n","any_n","any_pct"
"1","aejapp",610,100,126,0,189,30.983606557377
"2","aejmac",474,158,65,6,201,42.4050632911392
"3","aejmic",221,55,15,5,69,31.2217194570136
"4","aejpol",621,132,134,2,229,36.8760064412238
"5","aer",1891,423,267,32,599,31.6763617133792
"6","aeri",105,33,30,1,53,50.4761904761905
"7","ecta",300,119,49,15,151,50.3333333333333
"8","jaere",171,30,20,0,45,26.3157894736842
"9","jeea",280,65,31,3,91,32.5
"10","jep",209,24,42,1,60,28.7081339712919
"11","jole",190,34,38,2,65,34.2105263157895
"12","jpe",253,73,35,8,98,38.7351778656126
"13","ms",462,96,39,3,125,27.0562770562771
"14","pandp",460,56,67,2,117,25.4347826086957
"15","qje",255,43,22,2,59,23.1372549019608
"16","restat",1234,153,110,0,239,19.3679092382496
"17","restud",544,152,70,14,204,37.5
"18","Total",8280,1746,1160,96,2594,31.3285024154589
