"","journ","n","main_n","master_n","any_n","any_pct"
"1","aejapp",603,100,126,189,31.3432835820896
"2","aejmac",471,158,65,197,41.8259023354565
"3","aejmic",216,55,15,67,31.0185185185185
"4","aejpol",618,132,134,228,36.8932038834951
"5","aer",1865,422,265,586,31.4209115281501
"6","aeri",105,33,30,52,49.5238095238095
"7","ecta",300,119,49,146,48.6666666666667
"8","jaere",171,30,19,44,25.7309941520468
"9","jeea",280,65,30,90,32.1428571428571
"10","jep",208,24,42,59,28.3653846153846
"11","jole",189,34,38,65,34.3915343915344
"12","jpe",253,73,35,96,37.9446640316206
"13","ms",462,96,38,123,26.6233766233766
"14","pandp",460,56,67,116,25.2173913043478
"15","qje",255,43,22,58,22.7450980392157
"16","restat",1234,152,110,238,19.2868719611021
"17","restud",527,151,69,197,37.3814041745731
"18","Total",8217,1743,1154,2551,31.0453936959961
