"","journ","articles","name","value","Percent"
"1","aejapp",610,"present_python",18,2.95081967213115
"2","aejapp",610,"present_julia",1,0.163934426229508
"3","aejapp",610,"present_notebooks",2,0.327868852459016
"4","aejapp",610,"present_r",43,7.04918032786885
"5","aejapp",610,"present_stata",584,95.7377049180328
"6","aejapp",610,"present_matlab",40,6.55737704918033
"7","aejapp",610,"present_mathematica",1,0.163934426229508
"8","aejapp",610,"present_ampl",0,0
"9","aejapp",610,"present_dynare",0,0
"10","aejapp",610,"present_ox",0,0
"11","aejmac",474,"present_python",12,2.53164556962025
"12","aejmac",474,"present_julia",2,0.421940928270042
"13","aejmac",474,"present_notebooks",7,1.47679324894515
"14","aejmac",474,"present_r",27,5.69620253164557
"15","aejmac",474,"present_stata",259,54.6413502109705
"16","aejmac",474,"present_matlab",297,62.6582278481013
"17","aejmac",474,"present_mathematica",11,2.32067510548523
"18","aejmac",474,"present_ampl",0,0
"19","aejmac",474,"present_dynare",63,13.2911392405063
"20","aejmac",474,"present_ox",1,0.210970464135021
"21","aejmic",221,"present_python",12,5.42986425339367
"22","aejmic",221,"present_julia",1,0.452488687782805
"23","aejmic",221,"present_notebooks",3,1.35746606334842
"24","aejmic",221,"present_r",19,8.5972850678733
"25","aejmic",221,"present_stata",144,65.158371040724
"26","aejmic",221,"present_matlab",84,38.0090497737557
"27","aejmic",221,"present_mathematica",10,4.52488687782805
"28","aejmic",221,"present_ampl",0,0
"29","aejmic",221,"present_dynare",5,2.26244343891403
"30","aejmic",221,"present_ox",1,0.452488687782805
"31","aejpol",621,"present_python",18,2.89855072463768
"32","aejpol",621,"present_julia",1,0.161030595813205
"33","aejpol",621,"present_notebooks",4,0.644122383252818
"34","aejpol",621,"present_r",56,9.01771336553945
"35","aejpol",621,"present_stata",573,92.2705314009662
"36","aejpol",621,"present_matlab",69,11.1111111111111
"37","aejpol",621,"present_mathematica",6,0.966183574879227
"38","aejpol",621,"present_ampl",0,0
"39","aejpol",621,"present_dynare",3,0.483091787439614
"40","aejpol",621,"present_ox",0,0
"41","aer",1891,"present_python",64,3.38445267054469
"42","aer",1891,"present_julia",8,0.423056583818086
"43","aer",1891,"present_notebooks",12,0.634584875727129
"44","aer",1891,"present_r",137,7.24484399788472
"45","aer",1891,"present_stata",1343,71.0206240084611
"46","aer",1891,"present_matlab",561,29.6668429402433
